player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Cameron Sutton,11850,CB,PIT,3,0,0,25.0,0,0,25,0,0,32.9,36.9,75.4,67.9,57.8,31.5,0,1,0,0,8,50.0,1,0,0,39.6,1,0,0,9,1,31,44,4,0,0,4,0,4,40,2,11,26,1,1,0,4,1,0,8,6,8.0
Rasul Douglas,11854,CB,BUF,11,9,0,75.6,1,1,4,0,0,64.5,66.1,87.5,53.5,68.3,79.0,0,1,0,0,67,4.2,2,3,4,125.2,31,0,0,42,581,409,666,33,0,0,33,0,1,633,5,252,9,15,37,5,41,1,3,351,151,11.3
Trey Hendrickson,11858,ED,CIN,11,4,3,100.0,0,1,7,0,0,39.0,89.2,50.0,90.4,72.4,48.8,12,31,0,0,11,25.0,7,0,3,101.4,3,12,0,0,0,15,516,515,0,9,499,7,0,1,325,176,1,22,17,1,3,55,0,25,16,8.3
Eddie Jackson,11867,S,BLT,9,5,0,69.6,0,0,3,0,0,49.0,50.7,26.5,55.4,69.4,66.1,1,1,0,0,52,15.2,5,1,1,144.9,16,0,0,89,3,245,339,8,0,0,8,0,213,331,3,91,26,4,23,1,23,2,3,250,44,15.6
Rayshawn Jenkins,11868,S,SEA,7,6,0,90.5,0,0,29,1,1,64.0,54.2,81.9,40.5,39.6,38.9,0,1,0,0,30,21.7,10,0,0,117.5,19,0,0,162,4,224,416,13,0,0,13,0,172,403,18,174,65,13,30,0,21,1,1,176,81,9.3
Carl Lawson,11871,ED,DAL,9,2,0,,2,1,9,0,0,62.7,53.1,23.3,58.5,53.4,61.4,2,7,0,0,,14.3,1,0,3,0.0,0,4,0,1,0,10,248,246,0,2,234,10,0,2,159,79,0,5,4,0,0,13,0,0,0,
Mack Hollins,11873,WR,BUF,1,0,0,,0,0,4,0,0,60.0,60.0,62.9,,,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
Jalen Reeves-Maybin,11879,LB,DET,8,2,0,100.0,0,1,11,0,0,69.4,62.5,0.0,54.3,53.5,58.9,0,1,0,0,20,15.4,2,0,1,101.9,9,0,0,55,7,80,111,12,0,0,12,0,7,99,12,19,30,4,9,0,9,1,0,76,40,8.4
Deatrich Wise Jr.,11886,ED,NE,10,5,1,,0,0,19,0,0,61.7,58.4,66.9,59.7,53.9,52.3,1,8,0,0,,12.5,2,0,1,0.0,0,5,0,2,0,0,311,308,0,24,201,83,0,3,211,100,0,10,9,1,0,14,0,0,0,
Carlos Watkins,11897,DI,DAL,10,5,0,,0,0,9,0,0,62.6,66.3,82.3,54.1,66.9,73.0,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,148,147,3,128,5,11,0,1,70,78,0,2,4,0,0,1,0,0,0,
Grover Stewart,11899,DI,IND,12,15,2,,1,1,14,1,0,57.0,74.2,58.2,68.3,73.9,41.9,2,8,0,0,,10.4,5,0,2,0.0,0,4,0,1,0,1,491,490,45,433,0,12,0,1,233,257,0,26,28,5,0,14,0,0,0,
Damontae Kazee,11904,S,PIT,9,1,0,77.8,0,0,25,0,0,62.7,65.5,79.6,,69.5,87.1,0,0,0,1,49,0.0,0,0,0,79.2,7,0,0,6,0,105,130,0,0,0,0,0,113,130,0,25,11,2,10,0,9,0,0,117,42,16.7
Anthony Walker Jr.,11916,LB,MIA,8,11,1,83.3,0,0,17,0,0,53.7,59.4,82.2,44.3,71.8,71.0,0,4,0,1,21,8.7,4,0,0,76.2,15,0,0,299,4,184,342,8,0,0,8,0,4,334,23,135,27,11,31,0,18,4,0,141,90,9.4
Davon Godchaux,11934,DI,NE,12,9,1,,0,0,19,0,0,,56.0,87.3,58.6,52.9,68.2,1,5,0,0,,2.4,1,0,0,0.0,0,0,0,0,0,0,521,520,151,285,33,51,0,1,244,277,0,25,32,1,0,6,0,0,0,
